# Created by Octave 2.0.16, Sat Aug 26 10:07:11 2000 <gonzalez@hades>
# name: axis180
# type: matrix
# rows: 362
# columns: 2
 21.9364818129265 83
 18.8151233881776 84
 15.6880336945785 85
 12.5561652739426 86
 9.42047212372991 87
 6.28190940645019 88
 3.14143315871101 89
 1.10214571844014e-14 90
 -1.10214571844014e-14 90
 -3.14143315871101 89
 -6.28190940645019 88
 -9.42047212372991 87
 -12.5561652739426 86
 -15.6880336945785 85
 -18.8151233881776 84
 -21.9364818129265 83
 -25.0511581728118 82
 -28.1582037072416 81
 -31.2566719800475 80
 -34.3456191677781 79
 -37.4241043471967 78
 -40.4911897818957 77
 -43.5459412079402 76
 -46.5874281184537 75
 -49.6147240470599 74
 -52.6269068500926 73
 -55.6230589874905 72
 -58.6022678022882 71
 -61.5636257986204 70
 -64.5062309181541 69
 -67.4291868148642 68
 -70.3316031280693 67
 -73.212595753644 66
 -76.0712871133259 65
 -78.9068064220339 64
 -81.7182899531184 63
 -84.5048813014604 62
 -87.2657316443407 61
 -90 60
 -92.7068534838098 59
 -95.3854675619769 58
 -98.0350263027049 57
 -100.654722624734 56
 -103.243758543188 55
 -105.801345412645 54
 -108.326704167369 53
 -110.819065558618 52
 -113.277670388971 51
 -115.701769743577 50
 -118.090625218291 49
 -120.443509144594 48
 -122.75970481125 47
 -125.03850668262 46
 -127.279220613579 45
 -129.481164060957 44
 -131.643666291451 43
 -133.766068585931 42
 -135.847724440099 41
 -137.887999761416 40
 -139.886273062255 39
 -141.84193564921 38
 -143.754391808513 37
 -145.623058987491 36
 -147.447367972019 35
 -149.226763059907 34
 -150.960702230176 33
 -152.648657308157 32
 -154.29011412638 31
 -155.884572681199 30
 -157.431547285091 29
 -158.930566714607 28
 -160.381174353906 27
 -161.78292833385 26
 -163.135401666597 25
 -164.438182375668 24
 -165.690873621439 23
 -166.893093822022 22
 -168.044476769496 21
 -169.144671741464 20
 -170.193343607877 19
 -171.190172933128 18
 -172.134856073346 17
 -173.027105268897 16
 -173.866648732032 15
 -174.653230729679 14
 -175.386611661342 13
 -176.066568132085 12
 -176.69289302058 11
 -177.265395542197 10
 -177.783901307125 9
 -178.248252373483 8
 -178.658307295438 7
 -179.013941166289 6
 -179.315045656514 5
 -179.561529046768 4
 -179.753316255823 3
 -179.890348863437 2
 -179.97258512815 1
 -180 0
 -179.97258512815 -1
 -179.890348863437 -2
 -179.753316255823 -3
 -179.561529046768 -4
 -179.315045656514 -5
 -179.013941166289 -6
 -178.658307295438 -7
 -178.248252373483 -8
 -177.783901307125 -9
 -177.265395542197 -10
 -176.69289302058 -11
 -176.066568132085 -12
 -175.386611661342 -13
 -174.653230729679 -14
 -173.866648732032 -15
 -173.027105268897 -16
 -172.134856073346 -17
 -171.190172933128 -18
 -170.193343607877 -19
 -169.144671741464 -20
 -168.044476769496 -21
 -166.893093822022 -22
 -165.690873621439 -23
 -164.438182375668 -24
 -163.135401666597 -25
 -161.78292833385 -26
 -160.381174353906 -27
 -158.930566714607 -28
 -157.431547285091 -29
 -155.884572681199 -30
 -154.29011412638 -31
 -152.648657308157 -32
 -150.960702230176 -33
 -149.226763059907 -34
 -147.447367972019 -35
 -145.623058987491 -36
 -143.754391808513 -37
 -141.84193564921 -38
 -139.886273062255 -39
 -137.887999761416 -40
 -135.847724440099 -41
 -133.766068585931 -42
 -131.643666291451 -43
 -129.481164060957 -44
 -127.279220613579 -45
 -125.03850668262 -46
 -122.75970481125 -47
 -120.443509144594 -48
 -118.090625218291 -49
 -115.701769743577 -50
 -113.277670388971 -51
 -110.819065558618 -52
 -108.326704167369 -53
 -105.801345412645 -54
 -103.243758543188 -55
 -100.654722624734 -56
 -98.0350263027049 -57
 -95.3854675619769 -58
 -92.7068534838098 -59
 -90 -60
 -87.2657316443407 -61
 -84.5048813014604 -62
 -81.7182899531184 -63
 -78.9068064220339 -64
 -76.0712871133259 -65
 -73.212595753644 -66
 -70.3316031280693 -67
 -67.4291868148642 -68
 -64.5062309181541 -69
 -61.5636257986204 -70
 -58.6022678022882 -71
 -55.6230589874905 -72
 -52.6269068500926 -73
 -49.6147240470599 -74
 -46.5874281184537 -75
 -43.5459412079402 -76
 -40.4911897818957 -77
 -37.4241043471967 -78
 -34.3456191677781 -79
 -31.2566719800475 -80
 -28.1582037072416 -81
 -25.0511581728118 -82
 -21.9364818129265 -83
 -18.8151233881776 -84
 -15.6880336945785 -85
 -12.5561652739426 -86
 -9.42047212372991 -87
 -6.28190940645019 -88
 -3.14143315871101 -89
 -1.10214571844014e-14 -90
